Nombre,Calificación,Precio,lat,lng,Relajación,Aventura,Cultural,Histórico,Espiritual,Gastronómico,Entretenimiento,Ciudad_Count,region_Africa,region_America Insular,region_America del Sur,region_Asia,region_Centroamerica,region_Europa,region_Norteamerica,region_Oceania,pais_Alemania,pais_Argentina,pais_Australia,pais_Barbados,pais_Bolivia,pais_Canada,pais_Chile,pais_Colombia,pais_Corea del Sur,pais_Costa Rica,pais_Cuba,pais_Ecuador,pais_El Salvador,pais_España,pais_Estados Unidos,pais_Francia,pais_Grecia,pais_Guatemala,pais_Honduras,pais_Italia,pais_Jamaica,pais_Japón,pais_Madagascar,pais_Mexico,pais_Nicaragua,pais_Nigeria,pais_Paises Bajos,pais_Paraguay,pais_Portugal,pais_Puerto Rico,pais_Reino Unido,pais_Rusia,pais_Suiza,pais_Tailandia,pais_Tanzania,pais_Uruguay,pais_Venezuela,ciudad_Adjuntas,ciudad_Aguada,ciudad_Aguadilla,ciudad_Alajuela Province,ciudad_Alberta,ciudad_Alta Verapaz,ciudad_Alta Verapaz Department,ciudad_Analamanga,ciudad_Antananarivo Province,ciudad_Antioquia,ciudad_Antofagasta,ciudad_Arecibo,ciudad_Arusha Region,ciudad_Asunción,ciudad_Atenas,ciudad_Atlantico,ciudad_Atlántico,ciudad_Aveiro,ciudad_Añasco,ciudad_Baden-Wurtemberg,ciudad_Baja California Sur,ciudad_Baja Verapaz Department,ciudad_Bangkok,ciudad_Barcelona,ciudad_Bavaria,ciudad_Bay Islands Department,ciudad_Bayamón,ciudad_Bayern,ciudad_Berlin,ciudad_Boaco,ciudad_Bogotá,ciudad_Braga,ciudad_Bridgetown,ciudad_British Columbia,ciudad_Busan,ciudad_Cabañas,ciudad_Cabañas Department,ciudad_Cabo Rojo,ciudad_Caguas,ciudad_California,ciudad_Camuy,ciudad_Capital District,ciudad_Carazo,ciudad_Carolina,ciudad_Cartago Province,ciudad_Cataño,ciudad_Central,ciudad_Central Department,ciudad_Chalatenango,ciudad_Chalatenango Department,ciudad_Chimaltenango,ciudad_Chinandega,ciudad_Chiquimula,ciudad_Chiquimula Department,ciudad_Chontales,ciudad_Christ Church,ciudad_Chuquisaca Department,ciudad_Ciudad Autónoma de Buenos Aires,ciudad_Ciudad de México,ciudad_Clinketts,ciudad_Coxen Hole,ciudad_Cundinamarca,ciudad_Cuscatlán,ciudad_Cuscatlán Department,ciudad_Departamento de Choluteca,ciudad_Departamento de Chuquisaca,ciudad_Departamento de Copán,ciudad_Departamento de El Paraíso,ciudad_Departamento de Francisco Morazán,ciudad_Departamento de La Paz,ciudad_Departamento de Maldonado,ciudad_Departamento de Montevideo,ciudad_Departamento de Ocotepeque,ciudad_Departamento de Santa Cruz,ciudad_Departamento de Treinta y Tres,ciudad_Desconocido,ciudad_Diana,ciudad_District of Columbia,ciudad_Distrito Capital,ciudad_Dorado,ciudad_Douglas,ciudad_El Progreso,ciudad_El Progreso Department,ciudad_El Zopilote,ciudad_Epidavros,ciudad_Escocia,ciudad_Escuintla,ciudad_Escuintla Department,ciudad_Estado de México,ciudad_Esteli,ciudad_Estelí,ciudad_Faro,ciudad_Florida,ciudad_Granada,ciudad_Guantánamo,ciudad_Guatemala,ciudad_Guatemala Department,ciudad_Guayanilla,ciudad_Guayas,ciudad_Guaynabo,ciudad_Guánica,ciudad_Hanover Parish,ciudad_Hatillo,ciudad_Heredia,ciudad_Heredia Province,ciudad_Himeji,ciudad_Holanda del Norte,ciudad_Holanda del Sur,ciudad_Hormigueros,ciudad_Illinois,ciudad_Inglaterra,ciudad_Isabela,ciudad_Jalapa,ciudad_Jalapa Department,ciudad_Jalisco,ciudad_Jayuya,ciudad_Jeju,ciudad_Jinotega,ciudad_Kilimanjaro Region,ciudad_Kingston Parish,ciudad_Kioto,ciudad_La Habana,ciudad_La Libertad,ciudad_La Libertad Department,ciudad_La Paz,ciudad_La Paz Department,ciudad_La Unión,ciudad_Lagos,ciudad_Lajas,ciudad_Lares,ciudad_Leiria,ciudad_Leon,ciudad_León,ciudad_Limón,ciudad_Limón Province,ciudad_Lisboa,ciudad_Lisbon,ciudad_Los Lagos,ciudad_Loíza,ciudad_Lyon,ciudad_Madeira,ciudad_Madrid,ciudad_Magdalena,ciudad_Malaga,ciudad_Maldonado Department,ciudad_Manabí,ciudad_Managua,ciudad_Manatí,ciudad_Manitoba,ciudad_Manta,ciudad_Maricao,ciudad_Maryland,ciudad_Masaya,ciudad_Massachusetts,ciudad_Matagalpa,ciudad_Matanzas,ciudad_Mayagüez,ciudad_Mendoza,ciudad_Mendoza Province,ciudad_Mexico City,ciudad_Mjini Magharibi Region,ciudad_Mkoa wa Arusha,ciudad_Mkoa wa Kilimanjaro,ciudad_Moca,ciudad_Montevideo Department,ciudad_Morazán,ciudad_Morazán Department,ciudad_Moscu,ciudad_Nayarit,ciudad_Negril,ciudad_Nevada,ciudad_New Jersey,ciudad_New South Wales,ciudad_New York,ciudad_Nova Scotia,ciudad_Nueva Segovia,ciudad_Nuevo Leon,ciudad_Nuevo León,ciudad_Ogun State,ciudad_Ontario,ciudad_Paris,ciudad_Paynes Town,ciudad_Phuket,ciudad_Pichincha,ciudad_Pisa,ciudad_Pompeya,ciudad_Ponce,ciudad_Port Royal,ciudad_Portland Parish,ciudad_Porto,ciudad_Provincia de Alajuela,ciudad_Provincia de Cartago,ciudad_Provincia de Guanacaste,ciudad_Provincia de Puntarenas,ciudad_Puebla,ciudad_Puntarenas Province,ciudad_Pwani Region,ciudad_Quebec,ciudad_Quebradillas,ciudad_Quintana Roo,ciudad_Québec,ciudad_Región Metropolitana,ciudad_Renania del Norte-Westfalia,ciudad_Rincón,ciudad_Rivas,ciudad_Roma,ciudad_Río Grande,ciudad_Sacatepéquez,ciudad_Saint Andrew,ciudad_Saint George,ciudad_Saint James,ciudad_Saint John,ciudad_Saint Joseph,ciudad_Saint Lucy,ciudad_Saint Michael,ciudad_Saint Peter,ciudad_Saint Philip,ciudad_Saint Thomas,ciudad_Salmond,ciudad_San Germán,ciudad_San José,ciudad_San José Province,ciudad_San José del Cabo,ciudad_San Juan,ciudad_San Luis Potosi,ciudad_San Luis Potosí,ciudad_San Miguel,ciudad_San Miguel Department,ciudad_San Petersburgo,ciudad_San Salvador,ciudad_San Salvador Department,ciudad_Santa Ana,ciudad_Santa Ana Department,ciudad_Santa Cruz,ciudad_Santa Cruz Department,ciudad_Santa Rosa,ciudad_Santiago Metropolitan Region,ciudad_Santiago de Cuba,ciudad_Sava,ciudad_Setubal,ciudad_Sevilla,ciudad_Seúl,ciudad_Sonsonate Department,ciudad_Speightstown,ciudad_St. Andrew Parish,ciudad_St. Catherine Parish,ciudad_St. Elizabeth Parish,ciudad_St. James Parish,ciudad_St. Mary Parish,ciudad_St. Thomas Parish,ciudad_Texas,ciudad_Tlaxcala,ciudad_Tokio,ciudad_Treinta y Tres Department,ciudad_Trelawny Parish,ciudad_Trikala,ciudad_Tyrol,ciudad_Unguja South Region,ciudad_Usulután,ciudad_Utuado,ciudad_Valencia,ciudad_Varadero,ciudad_Vega Alta,ciudad_Venecia,ciudad_Victoria,ciudad_Virginia,ciudad_Washington,ciudad_West End,ciudad_Westmoreland Parish,ciudad_Weston,ciudad_Yamanashi,ciudad_Yucatán,ciudad_Zacapa,ciudad_Zacapa Department,ciudad_Zulia,ciudad_Zurich
Madison Square Garden,4.7,600.0,40.7505045,-73.9934387,0,1,1,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Met Cloisters,4.8,600.0,40.86486279999999,-73.9317274,0,0,1,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intrepid Museum,4.6,600.0,40.7648801,-74.0008306,0,0,1,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York Aquarium,4.2,600.0,40.57405060000001,-73.9759251,0,1,1,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Patrick's Cathedral,4.8,600.0,40.7586117,-73.9761953,0,0,1,0,1,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Battery,4.6,600.0,40.70293119999999,-74.0153603,1,0,1,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prospect Park,4.7,600.0,40.6602037,-73.9689558,1,0,1,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carnegie Hall,4.7,600.0,40.7651258,-73.97992359999999,0,0,1,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Park Zoo,4.4,600.0,40.7677061,-73.9719906,0,1,1,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Museum of Sex,4.3,600.0,40.7440291,-73.9872529,1,0,1,0,0,1,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Bridge Park,4.8,600.0,40.7022422,-73.9958601,1,0,1,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madame Tussauds New York,4.5,600.0,40.7564269,-73.9888338,0,0,1,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Museum,4.7,600.0,40.6712062,-73.9636306,0,0,1,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx Zoo,4.6,600.0,40.8501415,-73.87672169999999,0,1,1,0,0,0,0,49,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
